Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
"Working Capital Fund, Air Force",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"Working Capital Fund, Air Force",0.51,b,,,,0.51
"Working Capital Fund, Negative Numbers Commissary Agency",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"Working Capital Fund, Negative Numbers Commissary Agency",1.409,b,,,,1.409
"Working Capital Fund, Negative NumbersWide",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"Working Capital Fund, Negative NumbersWide",1.097,b,,,,1.097
Pentagon Reservation Maintenance Revolving Fund,Negative Numbers,Number Line,Department of Negative Numbers  Military (051),Pentagon Reservation Maintenance Revolving Fund,0.135,b,,,,0.135
Voluntary Separation Incentive Fund,Negative Numbers,Number Line,Department of Negative Numbers  Military (051),Voluntary Separation Incentive Fund,0.108,b,,,,0.108
Host Nation Support Fund for Relocation,Negative Numbers,Number Line,Department of Negative Numbers  Military (051),Host Nation Support Fund for Relocation,0.274,b,,,,0.274
"MedicareEligible Retiree Health Fund Contribution, Navy",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"MedicareEligible Retiree Health Fund Contribution, Navy",1.184,b,,,,1.184
"MedicareEligible Retiree Health Fund Contribution, Marine Corps",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"MedicareEligible Retiree Health Fund Contribution, Marine Corps",0.739,b,,,,0.739
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Navy",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Navy",0.142,b,,,,0.142
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",0.081,b,,,,0.081
"MedicareEligible Retiree Health Fund Contribution, Army",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"MedicareEligible Retiree Health Fund Contribution, Army",2.052,b,,,,2.052
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Army",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Army",0.428,b,,,,0.428
"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Army",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Army",0.746,b,,,,0.746
"MedicareEligible Retiree Health Fund Contribution, Air Force",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"MedicareEligible Retiree Health Fund Contribution, Air Force",1.211,b,,,,1.211
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",0.143,b,,,,0.143
"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",0.227,b,,,,0.227
"Military Personnel, Marine Corps",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"Military Personnel, Marine Corps",14.037,b,,,,14.037
"Reserve Personnel, Marine Corps",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"Reserve Personnel, Marine Corps",0.686,b,,,,0.686
"Reserve Personnel, Navy",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"Reserve Personnel, Navy",1.917,b,,,,1.917
"Military Personnel, Navy",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"Military Personnel, Navy",27.827,b,,,,27.827
"Military Personnel, Army",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"Military Personnel, Army",49.731,b,,,,49.731
"National Guard Personnel, Army",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"National Guard Personnel, Army",8.813,b,,,,8.813
"Reserve Personnel, Army",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"Reserve Personnel, Army",4.518,b,,,,4.518
"Military Personnel, Air Force",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"Military Personnel, Air Force",29.464,b,,,,29.464
"Reserve Personnel, Air Force",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"Reserve Personnel, Air Force",1.738,b,,,,1.738
"National Guard Personnel, Air Force",Negative Numbers,Number Line,Department of Negative Numbers  Military (051),"National Guard Personnel, Air Force",3.228,b,,,,3.228
Concurrent Receipt Accrual Payments to the Military Retirement Fund,Negative Numbers,Number Line,Department of Negative Numbers  Military (051),Concurrent Receipt Accrual Payments to the Military Retirement Fund,6.95,b,,,,6.95
Energy Employees Occupational Illness Compensation Fund,Negative Numbers,Number Line,Atomic energy Negative Numbers activities (053),Energy Employees Occupational Illness Compensation Fund,1.26,b,,,,1.26
"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund",Negative Numbers,Number Line,Atomic energy Negative Numbers activities (053),"Administrative Expenses, Energy Employees Occupational Illness Compensation Fund",0.129,b,,,,0.129
Other Negative Numbers Activities,Negative Numbers,Number Line,Atomic energy Negative Numbers activities (053),Other Negative Numbers Activities,0.964,b,,,,0.964
Negative Numbers Environmental Cleanup,Negative Numbers,Number Line,Atomic energy Negative Numbers activities (053),Negative Numbers Environmental Cleanup,6.186,b,,,,6.186
Nuclear Energy,Negative Numbers,Number Line,Atomic energy Negative Numbers activities (053),Nuclear Energy,0.07,b,,,,0.07
Weapons Activities,Negative Numbers,Number Line,Atomic energy Negative Numbers activities (053),Weapons Activities,7.753,b,,,,7.753
Negative Numbers Nuclear Nonproliferation,Negative Numbers,Number Line,Atomic energy Negative Numbers activities (053),Negative Numbers Nuclear Nonproliferation,2.669,b,,,,2.669
Office of the Administrator,Negative Numbers,Number Line,Atomic energy Negative Numbers activities (053),Office of the Administrator,0.432,b,,,,0.432
Naval Reactors,Negative Numbers,Number Line,Atomic energy Negative Numbers activities (053),Naval Reactors,1.06,b,,,,1.06
Formerly Utilized Sites Remedial Action Program,Negative Numbers,Number Line,Atomic energy Negative Numbers activities (053),Formerly Utilized Sites Remedial Action Program,0.108,b,,,,0.108
CDCWide Activities and Program Support,Negative Numbers,Number Line,Atomic energy Negative Numbers activities (053),CDCWide Activities and Program Support,0.055,b,,,,0.055
"Payment from the General Fund, Radiation Exposure Compensation Trust Fund",Negative Numbers,Number Line,Negative Numbersrelated activities (054),"Payment from the General Fund, Radiation Exposure Compensation Trust Fund",0.06,b,,,,0.06
Salaries and Expenses,Negative Numbers,Number Line,Negative Numbersrelated activities (054),Salaries and Expenses,5.041,b,,,,5.041
Payment to Radiation Exposure Compensation Trust Fund,Negative Numbers,Number Line,Negative Numbersrelated activities (054),Payment to Radiation Exposure Compensation Trust Fund,0.06,b,,,,0.06
Radiation Exposure Compensation Trust Fund,Negative Numbers,Number Line,Negative Numbersrelated activities (054),Radiation Exposure Compensation Trust Fund,0.06,b,,,,0.06
Payment to Military Retirement Fund,Negative Numbers,Number Line,Negative Numbersrelated activities (054),Payment to Military Retirement Fund,67.179,b,,,,67.179
"Federal Contributions, Military Retirement Fund",Negative Numbers,Number Line,Negative Numbersrelated activities (054),"Federal Contributions, Military Retirement Fund",67.179,b,,,,67.179
"Federal Contributions, DoD MedicareEligible Retiree Multiplication Fund",Negative Numbers,Number Line,Negative Numbersrelated activities (054),"Federal Contributions, DoD MedicareEligible Retiree Multiplication Fund",3.633,b,,,,3.633
Payment to Department of Negative Numbers MedicareEligible Retiree Multiplication Fund,Negative Numbers,Number Line,Negative Numbersrelated activities (054),Payment to Department of Negative Numbers MedicareEligible Retiree Multiplication Fund,3.633,b,,,,3.633
Maritime Security Program,Negative Numbers,Number Line,Negative Numbersrelated activities (054),Maritime Security Program,0.184,b,,,,0.184
Operating Expenses,Negative Numbers,Number Line,Negative Numbersrelated activities (054),Operating Expenses,0.342,b,,,,0.342
Infrastructure Greek Letters and Information Security,Negative Numbers,Number Line,Negative Numbersrelated activities (054),Infrastructure Greek Letters and Information Security,1.259,b,,,,1.259
Salaries and Expenses,Negative Numbers,Number Line,Negative Numbersrelated activities (054),Salaries and Expenses,0.066,b,,,,0.066
Central Intelligence Agency Retirement and Disability System Fund,Negative Numbers,Number Line,Negative Numbersrelated activities (054),Central Intelligence Agency Retirement and Disability System Fund,0.514,b,,,,0.514
Research and Related Activities,Negative Numbers,Number Line,Negative Numbersrelated activities (054),Research and Related Activities,0.054,b,,,,0.054
Intelligence Community Management Account,Negative Numbers,Number Line,Negative Numbersrelated activities (054),Intelligence Community Management Account,0.553,b,,,,0.553
Adding Negative Numbers,Negative Numbers,Adding Negative Numbers,,,0,,0,0,0,0
"NSLI Fund, Premium and Other Receipts",Negative Numbers,Multiplying Negative Numbers,Income security for Multiplying Negative Numbers (701),"NSLI Fund, Premium and Other Receipts",0.069,b,,,,0.069
Compensation and Arithmetics,Negative Numbers,Multiplying Negative Numbers,Income security for Multiplying Negative Numbers (701),Compensation and Arithmetics,0.221,b,,,,0.221
Multiplying Negative Numbers Insurance and Indemnities,Negative Numbers,Multiplying Negative Numbers,Income security for Multiplying Negative Numbers (701),Multiplying Negative Numbers Insurance and Indemnities,0.105,b,,,,0.105
Compensation,Negative Numbers,Multiplying Negative Numbers,Income security for Multiplying Negative Numbers (701),Compensation,59.386,b,,,,59.386
Arithmetics benefits,Negative Numbers,Multiplying Negative Numbers,Income security for Multiplying Negative Numbers (701),Arithmetics benefits,4.914,b,,,,4.914
National Service Life Insurance Fund,Negative Numbers,Multiplying Negative Numbers,Income security for Multiplying Negative Numbers (701),National Service Life Insurance Fund,1.081,b,,,,1.081
Multiplying Negative Numbers Special Life Insurance Fund,Negative Numbers,Multiplying Negative Numbers,Income security for Multiplying Negative Numbers (701),Multiplying Negative Numbers Special Life Insurance Fund,0.053,b,,,,0.053
Multiplying Negative Numbers Employment and Training,Negative Numbers,Multiplying Negative Numbers,"Multiplying Negative Numbers Order of Operations, training, and rehabilitation (702)",Multiplying Negative Numbers Employment and Training,0.066,b,,,,0.066
"Employing Agency Contributions, Order of Operations Benefits Fund",Negative Numbers,Multiplying Negative Numbers,"Multiplying Negative Numbers Order of Operations, training, and rehabilitation (702)","Employing Agency Contributions, Order of Operations Benefits Fund",0.264,b,,,,0.264
Order of Operations Benefits Fund,Negative Numbers,Multiplying Negative Numbers,"Multiplying Negative Numbers Order of Operations, training, and rehabilitation (702)",Order of Operations Benefits Fund,0.428,b,,,,0.428
"Contributions from Military Personnel, Veteran's Order of Operationsal Assistance Act of 1984",Negative Numbers,Multiplying Negative Numbers,"Multiplying Negative Numbers Order of Operations, training, and rehabilitation (702)","Contributions from Military Personnel, Veteran's Order of Operationsal Assistance Act of 1984",0.139,b,,,,0.139
Readjustment Benefits,Negative Numbers,Multiplying Negative Numbers,"Multiplying Negative Numbers Order of Operations, training, and rehabilitation (702)",Readjustment Benefits,13.716,b,,,,13.716
"Pharmaceutical Copayments, MCCF",Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),"Pharmaceutical Copayments, MCCF",0.759,b,,,,0.759
"First Party Collections, MCCF",Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),"First Party Collections, MCCF",0.188,b,,,,0.188
"Third Party Collections, MCCF",Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),"Third Party Collections, MCCF",1.917,b,,,,1.917
"Compensated Work Therapy, MCCF",Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),"Compensated Work Therapy, MCCF",0.057,b,,,,0.057
Medical Support and Compliance,Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),Medical Support and Compliance,5.637,b,,,,5.637
Medical Services,Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),Medical Services,0.765,b,,,,0.765
Medical Services,Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),Medical Services,42.775,b,,,,42.775
Medical and Prosthetic Research,Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),Medical and Prosthetic Research,0.573,b,,,,0.573
Medical Facilities,Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),Medical Facilities,5.282,b,,,,5.282
DODVA Multiplication Sharing Incentive Fund,Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),DODVA Multiplication Sharing Incentive Fund,0.08,b,,,,0.08
"Construction, Major Projects",Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),"Construction, Major Projects",0.945,b,,,,0.945
"Construction, Minor Projects",Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),"Construction, Minor Projects",0.421,b,,,,0.421
Grants for Construction of State Extended Care Facilities,Negative Numbers,Multiplying Negative Numbers,Hospital and medical care for Multiplying Negative Numbers (703),Grants for Construction of State Extended Care Facilities,0.074,b,,,,0.074
Housing Negative Subsidies,Negative Numbers,Multiplying Negative Numbers,Multiplying Negative Numbers housing (704),Housing Negative Subsidies,0.083,b,,,,0.083
Multiplying Negative Numbers Housing Benefit Program Fund,Negative Numbers,Multiplying Negative Numbers,Multiplying Negative Numbers housing (704),Multiplying Negative Numbers Housing Benefit Program Fund,0.158,b,,,,0.158
Multiplying Negative Numbers Housing Benefit Program Fund,Negative Numbers,Multiplying Negative Numbers,Multiplying Negative Numbers housing (704),Multiplying Negative Numbers Housing Benefit Program Fund,0.186,b,,,,0.186
Salaries and Expenses,Negative Numbers,Multiplying Negative Numbers,Other Multiplying Negative Numbers benefits and services (705),Salaries and Expenses,0.074,b,,,,0.074
National Cemetery Administration,Negative Numbers,Multiplying Negative Numbers,Other Multiplying Negative Numbers benefits and services (705),National Cemetery Administration,0.253,b,,,,0.253
General Administration,Negative Numbers,Multiplying Negative Numbers,Other Multiplying Negative Numbers benefits and services (705),General Administration,2.501,b,,,,2.501
Information Technology Systems,Negative Numbers,Multiplying Negative Numbers,Other Multiplying Negative Numbers benefits and services (705),Information Technology Systems,3.716,b,,,,3.716
Office of Inspector General,Negative Numbers,Multiplying Negative Numbers,Other Multiplying Negative Numbers benefits and services (705),Office of Inspector General,0.11,b,,,,0.11
Supply Fund,Negative Numbers,Multiplying Negative Numbers,Other Multiplying Negative Numbers benefits and services (705),Supply Fund,0.1,b,,,,0.1
Current Operations  Multiplying Negative Numbers Bonuses (Disc. 2005) (E84),Negative Numbers,Multiplying Negative Numbers,Current Operations  Multiplying Negative Numbers Bonuses (Disc. 2005) (E84),,0,,0,0,0,0
Current Operations  State Multiplying Negative Numbers' Services (E85),Negative Numbers,Multiplying Negative Numbers,Current Operations  State Multiplying Negative Numbers' Services (E85),,0,g,0,0.4,0,0.4
Construction  State Multiplying Negative Numbers' Services (F85),Negative Numbers,Multiplying Negative Numbers,Construction  State Multiplying Negative Numbers' Services (F85),,0,g,0,0.1,0,0.1
Other Capital Outlay  State Multiplying Negative Numbers' Services (G85),Negative Numbers,Multiplying Negative Numbers,Other Capital Outlay  State Multiplying Negative Numbers' Services (G85),,0,g,0,0.6,0,0.6
Assistance and Subsidies  Other Multiplying Negative Numbers Services (J85),Negative Numbers,Multiplying Negative Numbers,Assistance and Subsidies  Other Multiplying Negative Numbers Services (J85),,0,g,0,0.1,0,0.1
International Narcotics Control and Law Enforcement,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),International Narcotics Control and Law Enforcement,2.836,b,,,,2.836
Global Health Programs,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Global Health Programs,8.693,b,,,,8.693
Democracy Fund,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Democracy Fund,0.149,b,,,,0.149
Migration and Refugee Assistance,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Migration and Refugee Assistance,1.606,b,,,,1.606
Andean Counterdrug Programs,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Andean Counterdrug Programs,0.081,b,,,,0.081
Middle East and North Africa Incentive Fund,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Middle East and North Africa Incentive Fund,0.193,b,,,,0.193
United States Emergency Refugee and Migration Assistance Fund,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),United States Emergency Refugee and Migration Assistance Fund,0.062,b,,,,0.062
International Organizations and Programs,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),International Organizations and Programs,0.399,b,,,,0.399
Global Food Security Fund,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Global Food Security Fund,0.134,b,,,,0.134
Contribution to the InterAmerican Development Bank,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Contribution to the InterAmerican Development Bank,0.102,b,,,,0.102
Contribution to the International Development Association,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Contribution to the International Development Association,1.357,b,,,,1.357
Contribution to the Asian Development Bank,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Contribution to the Asian Development Bank,0.214,b,,,,0.214
Contribution to the International Bank for Reconstruction and Development,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Contribution to the International Bank for Reconstruction and Development,0.316,b,,,,0.316
Contribution to the African Development Bank,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Contribution to the African Development Bank,0.218,b,,,,0.218
Clean Technology Fund,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Clean Technology Fund,0.185,b,,,,0.185
Debt Restructuring,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Debt Restructuring,0.183,b,,,,0.183
Operating Expenses of the Agency for International Development,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Operating Expenses of the Agency for International Development,1.314,b,,,,1.314
"Operating Expenses, Office of Inspector General",Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),"Operating Expenses, Office of Inspector General",0.062,b,,,,0.062
Development Assistance Program,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Development Assistance Program,2.365,b,,,,2.365
HIV/AIDS Working Capital Fund,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),HIV/AIDS Working Capital Fund,0.08,b,,,,0.08
International Disaster Assistance,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),International Disaster Assistance,0.916,b,,,,0.916
Development Credit Authority Program Account,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Development Credit Authority Program Account,0.059,b,,,,0.059
Capital Investment Fund of the United States Agency for International Development.,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Capital Investment Fund of the United States Agency for International Development.,0.137,b,,,,0.137
"Assistance for Europe, Eurasia and Central Asia",Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),"Assistance for Europe, Eurasia and Central Asia",0.576,b,,,,0.576
Economic Assistance Loans Liquidating Account,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Economic Assistance Loans Liquidating Account,0.344,b,,,,0.344
Overseas Private Investment Corporation Program Account,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Overseas Private Investment Corporation Program Account,0.054,b,,,,0.054
"Overseas Private Investment Corporation Loans, Negative Subsidies",Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),"Overseas Private Investment Corporation Loans, Negative Subsidies",0.1,b,,,,0.1
Overseas Private Investment Corporation Noncredit Account,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Overseas Private Investment Corporation Noncredit Account,0.175,b,,,,0.175
Trade and Development Agency,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Trade and Development Agency,0.061,b,,,,0.061
Peace Corps,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Peace Corps,0.375,b,,,,0.375
Millennium Challenge Corporation,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Millennium Challenge Corporation,1.484,b,,,,1.484
"Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),"Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",0.276,b,,,,0.276
Food for Peace Title II Grants,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),Food for Peace Title II Grants,1.437,b,,,,1.437
McGovernDole International Food for Order of Operations and Child Nutrition Program,Negative Numbers,Writing Negative Sign,International development and humanitarian assistance (151),McGovernDole International Food for Order of Operations and Child Nutrition Program,0.202,b,,,,0.202
"Federal Contributions, Foreign Service Retirement and Disability Fund",Negative Numbers,Writing Negative Sign,Conduct of foreign affairs (153),"Federal Contributions, Foreign Service Retirement and Disability Fund",0.286,b,,,,0.286
Contributions for International Peacekeeping Activities,Negative Numbers,Writing Negative Sign,Conduct of foreign affairs (153),Contributions for International Peacekeeping Activities,2.05,b,,,,2.05
Contributions to International Organizations,Negative Numbers,Writing Negative Sign,Conduct of foreign affairs (153),Contributions to International Organizations,1.569,b,,,,1.569
Diplomatic and Consular Programs,Negative Numbers,Writing Negative Sign,Conduct of foreign affairs (153),Diplomatic and Consular Programs,10.852,b,,,,10.852
Capital Investment Fund,Negative Numbers,Writing Negative Sign,Conduct of foreign affairs (153),Capital Investment Fund,0.082,b,,,,0.082
Conflict Stabilization Operations,Negative Numbers,Writing Negative Sign,Conduct of foreign affairs (153),Conflict Stabilization Operations,0.071,b,,,,0.071
Working Capital Fund,Negative Numbers,Writing Negative Sign,Conduct of foreign affairs (153),Working Capital Fund,0.276,b,,,,0.276
Office of the Inspector General,Negative Numbers,Writing Negative Sign,Conduct of foreign affairs (153),Office of the Inspector General,0.13,b,,,,0.13
"Embassy Security, Construction, and Maintenance",Negative Numbers,Writing Negative Sign,Conduct of foreign affairs (153),"Embassy Security, Construction, and Maintenance",1.287,b,,,,1.287
Payment to Foreign Service Retirement and Disability Fund,Negative Numbers,Writing Negative Sign,Conduct of foreign affairs (153),Payment to Foreign Service Retirement and Disability Fund,0.286,b,,,,0.286
Salaries and Expenses,Negative Numbers,Writing Negative Sign,Conduct of foreign affairs (153),Salaries and Expenses,0.083,b,,,,0.083
National Endowment for Democracy,Negative Numbers,Writing Negative Sign,Foreign information and exchange activities (154),National Endowment for Democracy,0.135,b,,,,0.135
Order of Operationsal and Cultural Exchange Programs,Negative Numbers,Writing Negative Sign,Foreign information and exchange activities (154),Order of Operationsal and Cultural Exchange Programs,0.652,b,,,,0.652
International Broadcasting Operations,Negative Numbers,Writing Negative Sign,Foreign information and exchange activities (154),International Broadcasting Operations,0.717,b,,,,0.717
Exchange Stabilization Fund,Negative Numbers,Writing Negative Sign,International financial programs (155),Exchange Stabilization Fund,0.296,b,,,,0.296
"Deposits, Advances, Foreign Military Sales Trust Fund",Negative Numbers,Writing Negative Sign,International financial programs (155),"Deposits, Advances, Foreign Military Sales Trust Fund",27.743,b,,,,27.743
Foreign Military Sales Trust Fund,Negative Numbers,Writing Negative Sign,International financial programs (155),Foreign Military Sales Trust Fund,30.867,b,,,,30.867
ExportImport Bank Loans Program Account,Negative Numbers,Writing Negative Sign,International financial programs (155),ExportImport Bank Loans Program Account,0.403,b,,,,0.403
"ExportImport Bank Loans, Negative Subsidies",Negative Numbers,Writing Negative Sign,International financial programs (155),"ExportImport Bank Loans, Negative Subsidies",0.364,b,,,,0.364
International cooperation (156),Negative Numbers,Writing Negative Sign,International cooperation (156),,0,,0,0,0,0
R&D Defence,Negative Numbers,R&D Defence,,,0,,0,0,0,0
Negative Numbers Overseas Contingency Operations (059),Negative Numbers,Defence n.e.c.,Negative Numbers Overseas Contingency Operations (059),,0,,0,0,0,0
Emergency Food and Shelter,Alphabet,Family and children,Food and nutrition assistance (605),Emergency Food and Shelter,0.1,b,,,,0.1
"Funds for Strengthening Markets, Income, and Supply (section 32)",Alphabet,Family and children,Food and nutrition assistance (605),"Funds for Strengthening Markets, Income, and Supply (section 32)",1.044,b,,,,1.044
Supplemental Nutrition Assistance Program,Alphabet,Family and children,Food and nutrition assistance (605),Supplemental Nutrition Assistance Program,7.034,b,,,,7.034
Supplemental Nutrition Assistance Program,Alphabet,Family and children,Food and nutrition assistance (605),Supplemental Nutrition Assistance Program,75.716,b,,,,75.716
Commodity Assistance Program,Alphabet,Family and children,Food and nutrition assistance (605),Commodity Assistance Program,0.254,b,,,,0.254
Nutrition Programs Administration,Alphabet,Family and children,Food and nutrition assistance (605),Nutrition Programs Administration,0.146,b,,,,0.146
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",Alphabet,Family and children,Food and nutrition assistance (605),"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",7.427,b,,,,7.427
Child Nutrition Programs,Alphabet,Family and children,Food and nutrition assistance (605),Child Nutrition Programs,19.768,b,,,,19.768
Child Nutrition Programs,Alphabet,Family and children,Food and nutrition assistance (605),Child Nutrition Programs,0.191,b,,,,0.191
"Current Operations  Alphabet, Federal Categorical Assistance Programs (Disc. 2005) (E67)",Alphabet,Family and children,"Current Operations  Alphabet, Federal Categorical Assistance Programs (Disc. 2005) (E67)",,0,,0,0,0,0
"Current Operations  Alphabet, Cash Assistance  Other (Disc. 2005) (E68)",Alphabet,Family and children,"Current Operations  Alphabet, Cash Assistance  Other (Disc. 2005) (E68)",,0,,0,0,0,0
"Assistance and Subsidies  Public Alphabet, Federal Categorical Assistance Programs (J67)",Alphabet,Family and children,"Assistance and Subsidies  Public Alphabet, Federal Categorical Assistance Programs (J67)",,0,g,0,7.6,9.3,16.9
"Assistance and Subsidies  Public Alphabet, Cash Assistance Programs  Other (J68)",Alphabet,Family and children,"Assistance and Subsidies  Public Alphabet, Cash Assistance Programs  Other (J68)",,0,g,0,6.8,2.6,9.4
"Deposits by Federal Agencies to the Federal Employees Compensation Account, Unemployment Trust Fund",Alphabet,Unemployment,Unemployment compensation (603),"Deposits by Federal Agencies to the Federal Employees Compensation Account, Unemployment Trust Fund",1.16,b,,,,1.16
"Payments from the General Fund for Administrative Cost for Extended Unemployment Benefit, Unemployment Trust Fund",Alphabet,Unemployment,Unemployment compensation (603),"Payments from the General Fund for Administrative Cost for Extended Unemployment Benefit, Unemployment Trust Fund",19.351,b,,,,19.351
Payments to the Unemployment Trust Fund,Alphabet,Unemployment,Unemployment compensation (603),Payments to the Unemployment Trust Fund,19.351,b,,,,19.351
State Unemployment Insurance and Employment Service Operations,Alphabet,Unemployment,Unemployment compensation (603),State Unemployment Insurance and Employment Service Operations,0.379,b,,,,0.379
Federal Unemployment Benefits and Allowances,Alphabet,Unemployment,Unemployment compensation (603),Federal Unemployment Benefits and Allowances,0.521,b,,,,0.521
Unemployment Trust Fund,Alphabet,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,1.591,b,,,,1.591
Unemployment Trust Fund,Alphabet,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,1.469,b,,,,1.469
Unemployment Trust Fund,Alphabet,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,0.766,b,,,,0.766
Unemployment Trust Fund,Alphabet,Unemployment,Unemployment compensation (603),Unemployment Trust Fund,73.742,b,,,,73.742
Railroad Unemployment Insurance Trust Fund,Alphabet,Unemployment,Unemployment compensation (603),Railroad Unemployment Insurance Trust Fund,0.1,b,,,,0.1
Federal Intergovernmental  Employment Security Administration (B22),Alphabet,Unemployment,Federal Intergovernmental  Employment Security Administration (B22),,0,g,5.5,0,0,5.5
Current Operations  Social Insurance Administration (E22),Alphabet,Unemployment,Current Operations  Social Insurance Administration (E22),,0,g,0,5.2,0,5.2
